year_month,area_code,pm25,pm10,o3,no2,so2,co,aqi
201403,120106,179,105,18,31,36,21,179
201403,120107,172,112,16,31,31,19,172
201403,120108,172,112,16,31,31,19,172
201403,120109,172,112,16,31,31,19,172
201403,120110,177,91,16,32,28,18,177
201403,120111,167,121,17,31,29,20,167
201403,120112,153,100,14,31,27,11,153
201403,120113,173,132,18,36,30,21,173
201403,120114,163,107,15,26,27,19,163
201403,120115,165,112,14,26,26,19,165
201403,120221,172,112,16,31,31,19,172
201403,120223,172,112,16,31,31,19,172
201403,120225,172,112,16,31,31,19,172
201403,1301,201,172,16,32,39,16,201
201403,1302,197,134,13,35,43,26,197
201403,1303,150,103,20,20,24,10,150
201403,1304,187,155,13,32,32,10,187
201403,1305,219,229,15,30,41,14,229
201403,1306,191,182,21,26,32,16,191
201403,1307,93,71,39,17,37,13,93
201403,1308,126,85,28,15,17,8,126
201403,1309,169,103,20,14,26,11,169
201403,1310,167,123,19,29,26,12,167
201403,1311,193,144,22,23,25,10,193
201403,1401,132,98,10,15,28,20,132
201403,1402,97,60,10,17,22,30,97
201403,1403,174,115,14,15,46,13,174
201403,1404,149,108,39,26,33,27,149
201403,1405,151,103,42,25,43,34,151
201403,1406,140,90,16,24,43,9,140
201403,1407,133,81,5,17,21,14,133
201403,1408,78,74,13,19,22,23,78
201403,1409,123,65,22,11,26,36,123
201403,1410,135,65,18,17,27,24,135
201403,1411,113,88,10,13,38,16,113
201403,1501,109,104,29,19,30,12,109
201403,1502,119,122,24,24,35,15,122
201403,1503,109,104,29,19,30,12,109
201403,1504,113,84,26,12,24,6,113
201403,1505,109,104,29,19,30,12,109
201403,1506,85,78,41,13,24,8,85
201403,1507,109,104,29,19,30,12,109
201403,1508,109,104,29,19,30,12,109
201403,1509,109,104,29,19,30,12,109
201403,1522,109,104,29,19,30,12,109
201403,1525,109,104,29,19,30,12,109
201403,1529,109,104,29,19,30,12,109
201403,2101,147,86,22,24,38,10,147
201403,2102,144,78,20,23,23,8,144
201403,2103,167,113,34,28,51,27,167
201403,2104,144,90,36,26,29,18,144
201403,2105,158,87,23,25,40,38,158
201403,2106,126,67,25,15,21,9,126
201403,2107,152,93,27,24,43,18,152
201403,2108,127,76,32,23,27,11,127
201403,2109,142,81,25,22,30,13,142
201403,2110,142,81,25,22,30,13,142
201403,2111,133,71,23,13,21,23,133
201403,2112,142,81,25,22,30,13,142
201403,2113,142,81,25,22,30,13,142
201403,2114,142,91,30,24,34,18,142
201403,2201,145,82,17,25,27,9,145
201403,2202,159,95,37,25,30,22,159
201403,2203,147,84,20,25,27,11,147
201403,2204,147,84,20,25,27,11,147
201403,2205,147,84,20,25,27,11,147
201403,2206,147,84,20,25,27,11,147
201403,2207,147,84,20,25,27,11,147
201403,2208,147,84,20,25,27,11,147
201403,2224,147,84,20,25,27,11,147
201403,2301,121,65,25,27,23,8,121
201403,2302,106,57,38,17,24,10,106
201403,2303,118,62,32,21,19,8,118
201403,2304,118,62,32,21,19,8,118
201403,2305,118,62,32,21,19,8,118
201403,2306,108,51,36,11,9,5,108
201403,2307,118,62,32,21,19,8,118
201403,2308,118,62,32,21,19,8,118
201403,2309,118,62,32,21,19,8,118
201403,2310,138,75,43,18,18,11,138
201403,2311,118,62,32,21,19,8,118
201403,2312,118,62,32,21,19,8,118
201403,2327,118,62,32,21,19,8,118
201403,310101,125,61,28,28,9,8,125
201403,310103,128,63,27,25,11,7,128
201403,310104,136,63,25,26,12,10,136
201403,310105,128,63,27,25,11,7,128
201403,310106,123,62,26,28,13,6,123
201403,310107,122,65,26,24,9,5,122
201403,310108,128,63,27,25,11,7,128
201403,310109,123,60,29,25,10,7,123
201403,310110,135,63,28,26,12,7,135
201403,310112,128,63,27,25,11,7,128
201403,310113,128,63,27,25,11,7,128
201403,310114,128,63,27,25,11,7,128
201403,310115,120,62,29,21,8,5,120
201403,310116,128,63,27,25,11,7,128
201403,310117,128,63,27,25,11,7,128
201403,310118,143,68,25,22,13,8,143
201403,310119,128,63,27,25,11,7,128
201403,310120,128,63,27,25,11,7,128
201403,310230,128,63,27,25,11,7,128
201403,3201,154,97,23,30,17,5,154
201403,3202,159,89,27,33,21,6,159
201403,3203,155,97,21,20,22,6,155
201403,3204,147,80,24,22,19,7,147
201403,3205,148,81,21,29,15,5,148
201403,3206,146,81,25,20,16,2,146
201403,3207,158,98,30,24,20,5,158
201403,3208,153,89,23,24,18,5,153
201403,3209,130,71,28,16,14,4,130
201403,3210,160,75,19,21,20,3,160
201403,3211,154,87,20,22,15,5,154
201403,3212,157,95,17,16,21,9,157
201403,3213,160,96,28,18,17,6,160
201403,3301,134,68,19,21,12,10,134
201403,3302,110,56,27,21,10,12,110
201403,3303,125,65,19,30,11,18,125
201403,3304,130,69,37,25,18,13,130
201403,3305,144,73,23,24,16,13,144
201403,3306,137,68,18,23,23,11,137
201403,3307,140,64,24,20,16,12,140
201403,3308,137,65,19,18,20,9,137
201403,3309,82,43,32,11,4,10,82
201403,3310,126,64,25,18,8,13,126
201403,3311,112,54,25,17,12,10,112
201403,3401,153,77,30,19,15,10,153
201403,3402,142,80,46,10,10,10,142
201403,3403,149,77,38,15,12,9,149
201403,3404,149,77,38,15,12,9,149
201403,3405,149,71,46,11,9,8,149
201403,3406,149,77,38,15,12,9,149
201403,3407,149,77,38,15,12,9,149
201403,3408,149,77,38,15,12,9,149
201403,3410,149,77,38,15,12,9,149
